Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Academic Honors Day	Blakeley, Ron					Negatives	1961-05-15	1960-1970	Coral Gables ( Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1;  Folder No. 2;  Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100220001001	Image	image/tiff	277.114 KB	756	768	0xA84D4380	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/0	0	22.jpg	/umevents/image/22.jpg
Professors at Academic Honors Day Ceremony, 1960	Greenfield, David					Negatives	1960-05-18	1960-1970	Coral Gables (Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1;  Folder No. 1;  Folder Title: Academic Honors Day 1960: First.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100130001001	Image	image/tiff	250.951 KB	1023	676	0xE157284F	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1	1	14.jpg	/umevents/image/14.jpg
Award presentation	Caplan, Marty			Written on verso: "Ibis, 1951 page 261 cut C"		Photographs	1951	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.2 x 20.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100950001001	Image	image/tiff	163.416 KB	628	768	0x608DE6B3	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/2	2	94.jpg	/umevents/image/94.jpg
Student at a 1968 anti war rally			A female student holding a sign with "Why" and a peace sign on it. There are two other posters in the background. One is against the war, and the other reads "Meeting Tonite 8 p.m. at Welsley Foundation".			Photographs	1968	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100710001001	Image	image/tiff	116.406 KB	509	768	0x9D6C753A	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/3	3	70.jpg	/umevents/image/70.jpg
Award presentation				Written on verso: "Ibis, 1951 page 272 C"		Photographs	1951	1950-1960	Coral Gables ( Florida)	1 b&w photograph; 17.7 x 12.9 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100880001001	Image	image/tiff	236.539 KB	1023	761	0x8A88EDC6	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/4	4	87.jpg	/umevents/image/87.jpg
President Pearson at award presentation	Cox			Written on verso: "Int Awards Assembly"		Photographs			Coral Gables (Florida)	1 b&w photograph; 23.7 x 17.1 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100900001001	Image	image/tiff	275.402 KB	1022	766	0x55ECB5B2	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/5	5	89.jpg	/umevents/image/89.jpg
Crowd at Academic Honors Day celebration	Greenfield, David					Negatives	1960-05-18	1960-1970	Coral Gables ( Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 1; Folder Title: Academic Honors Day, 1960.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100030001001	Image	image/tiff	130.832 KB	503	768	0x136D0470	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/6	6	4.jpg	/umevents/image/4.jpg
Professors at Academic Honors Day Ceremony, 1960	Greenfield, David					Negatives	1960-05-18	1960-1970	Coral Gables (Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 1; Folder Title: Academic Honors Day, 1960: First.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100060001001	Image	image/tiff	235.437 KB	1022	670	0x501B1821	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/7	7	7.jpg	/umevents/image/7.jpg
Julian Eaton and President Ashe present tennis awards for the Julian Eaton Challenge Bowl			President Ashe standing to the far left	Written on verso: "Dr. Ashe, l. Julian Eaton, r."		Photographs			Coral Gables, Florida	1 b&w photograph; 21.5 x 16.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photographs Collection	0642	Series IV: Events	Box No. 1  Folder No. 12  Folder Title: Award Presentation (1949-1951).	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100910001001	Image	image/tiff	265.474 KB	972	768	0x85EEBCC2	RGB	24-bit depth	600 dpi			2008-06-05	2009-12-17	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/8	8	90.jpg	/umevents/image/90.jpg
Professors at Academic Honors Day Ceremony, 1960	Greenfield, David					Photographs	1960-05-18	1960-1970	Coral Gables (Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 1; Folder Title: Academic Honors Day, 1960: First.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100070001001	Image	image/tiff	259.101 KB	1023	675	0xEE7D81EF	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/9	9	8.jpg	/umevents/image/8.jpg
Lou Chesna Memorial football trophy				Written on verso: "Lou Chesna Trophy Miami vs. Fla football"		Photographs	1947	1940-1950	Coral Gables (Florida)	1 b&w photograph; 13 x 17.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100840001001	Image	image/tiff	101.33 KB	567	768	0x76F02C16	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/10	10	83.jpg	/umevents/image/83.jpg
Military personell interviewed at an anti-war rally						Negatives	1968	1960-1970	Coral Gables (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100550001001	Image	image/tiff	229.947 KB	1023	685	0xEDCB8D36	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/11	11	54.jpg	/umevents/image/54.jpg
Crowd at Academic Honors Day celebration	Greenfield, David					Negatives	1960-05-18	1960-1970	Coral Gables ( Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 1; Folder Title: Academic Honors Day, 1960.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100020001001	Image	image/tiff	275.939 KB	1022	680	0xEF2E4F63	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/12	12	3.jpg	/umevents/image/3.jpg
Outdoor arts and crafts show						Negatives	1974	1970-1980	Coral Gables (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 11; Folder Title: Art Exhibition, 1956, 1974.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100740001001	Image	image/tiff	410.181 KB	1023	672	0x367AA6CD	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/13	13	73.jpg	/umevents/image/73.jpg
Group of students being honored at the 1961 Academic Honors Day	Blakeley, Ron					Photographs	1961-05-15	1960-1970	Coral Gables ( Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100290001001	Image	image/tiff	306.039 KB	1023	655	0xACF7EEF4	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/14	14	29.jpg	/umevents/image/29.jpg
Students at anti war demonstration						Photographs	1968	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100490001001	Image	image/tiff	281.969 KB	1023	688	0x13011DA5	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/15	15	48.jpg	/umevents/image/48.jpg
Speaker at Academic Honors Day Ceremony, 1960	Greenfield, David					Negatives	1960-05-18	1960-1970	Coral Gables (Florida)	1 b&w negative	ENG	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 1; Folder Title: Academic Honors Day, 1960: First.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100140001001	Image	image/tiff	97.641 KB	524	768	0xB8C65CA2	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/16	16	15.jpg	/umevents/image/15.jpg
Outdoor arts and crafts show						Negatives	1974	1970-1980	Coral Gables (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1;  Folder No. 11; Folder Title: Art Exhibition, 1956, 1974.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100780001001	Image	image/tiff	458.021 KB	1022	684	0xC002189F	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/17	17	77.jpg	/umevents/image/77.jpg
Academic Honors Day, 1961	Greenfield, David					Photographs	1961-05	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cme		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100170001001	Image	image/tiff	210.579 KB	617	768	0xD869BA3E	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/18	18	17.jpg	/umevents/image/17.jpg
Academic Honors Day picnic	Blakeley, Ron					Photographs	1982-05	1980-1990	Coral Gables ( Florida)	1 b&w photograph; 15.3 x 10.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100190001001	Image	image/tiff	214.35 KB	1023	686	0x4A4C88F7	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/19	19	19.jpg	/umevents/image/19.jpg
Professors at Academic Honors Day, 1960	Greenfield, David					Negatives	1960-05-18	1960-1970	Coral Gables (Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 1; Folder Title: Academic Honors Day, 1960: First.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100080001001	Image	image/tiff	400.986 KB	1022	667	0xCF976616	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/20	20	9.jpg	/umevents/image/9.jpg
Faculty on Stage at the Academic Honors Day ceremony, 1961	Blakeley, Ron					Negatives	1961-05-15	1960-1970	Coral Gables ( Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100280001001	Image	image/tiff	290.862 KB	1023	672	0xA03BBA3D	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/21	21	28.jpg	/umevents/image/28.jpg
Spirit trophy				On verso: "Spirit Trophy April 10, 1953 Hurricane"		Photographs	1953-04-10	1950-1960	Coral Gables (Florida)	1 b&w photograph; 12.9 x 17.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100800001001	Image	image/tiff	124.613 KB	557	768	0x2EBABAC0	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/22	22	79.jpg	/umevents/image/79.jpg
Students at a 1968 anti war demonstration						Photographs	1968	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100520001001	Image	image/tiff	228.368 KB	1023	677	0x4125CF87	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/23	23	51.jpg	/umevents/image/51.jpg
Speaker at the Academic Honors Day Ceremony	Greenfield, David					Photographs	1960-05-18	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 1; Folder Title: Academic Honors Day, 1960: First.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100000001001	Image	image/tiff	166.122 KB	1023	677	0x132369AF	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/24	24	1.jpg	/umevents/image/1.jpg
Students at anti war demonstration						Photographs	1968	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100480001001	Image	image/tiff	301.106 KB	1023	682	0x94E9391F	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/25	25	47.jpg	/umevents/image/47.jpg
Intramural Trophy Awards				Written on verso: "Intramural Trophy Awards March 2, 1951 Hurricane"		Photographs	1951-03-02	1950-1960	Coral Gables (Florida)	1 b&w photograph; 17.7 x 11.1 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100850001001	Image	image/tiff	264.687 KB	1022	657	0x45B863F4	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/26	26	84.jpg	/umevents/image/84.jpg
Students at a 1968 Anti War Demonstration						Photographs	1968	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100660001001	Image	image/tiff	281.314 KB	1022	693	0xF35F5552	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/27	27	65.jpg	/umevents/image/65.jpg
Band performing at the Academic Honors Day Ceremony	Blakeley, Ron					Negatives	1961-05-15	1960-1970	Coral Gables (Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100270001001	Image	image/tiff	208.21 KB	762	768	0xBFA91ACE	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/28	28	27.jpg	/umevents/image/27.jpg
Students at the Academic Honors Day ceremony, 1961	Blakeley, Ron					Negatives	1961-05-15	1960-1970	Coral Gables (Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No.2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100240001001	Image	image/tiff	188.926 KB	761	768	0x21277801	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/29	29	24.jpg	/umevents/image/24.jpg
President Ashe awarding intramural trophy			President Ashe is seen standing at center	Written on verso: "Jim Thomas- Pres. Ashe-"		Photographs	1949	1940-1950	Coral Gables (Florida)	1 b&w photograph; 19.1 x 12.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100890001001	Image	image/tiff	208.482 KB	1022	684	0x457AEDC5	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/30	30	88.jpg	/umevents/image/88.jpg
Band performing at the Academic Honors Day Ceremony	Blakeley, Ron					Negatives	1961-05-15	1960-1970	Coral Gables (Florida)	1 b&w negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100260001001	Image	image/tiff	203.503 KB	766	768	0x2D0F7F04	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/31	31	26.jpg	/umevents/image/26.jpg
Students at an anti war demonstration						Photographs	1968	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100680001001	Image	image/tiff	213.438 KB	1022	686	0x68005623	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/32	32	67.jpg	/umevents/image/67.jpg
Faculty procession at Graduate Academic Honors Day, 1964	Blakeley, Ron					Negatives	1964-05	1960-1970	Coral Gables ( Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 5; Folder Title: Academic Honors Day: Ceremony- Graduate School, 1964.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100450001001	Image	image/tiff	241.226 KB	1023	677	0x5C873754	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/33	33	44.jpg	/umevents/image/44.jpg
Outdoor arts and crafts show						Negatives	1974	1970-1980	Coral Gables (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 11; Folder Title: Art Exhibition, 1956, 1974.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100760001001	Image	image/tiff	276.635 KB	1023	679	0x6C135CE9	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/34	34	75.jpg	/umevents/image/75.jpg
Students being honored at the 1961 Academic Honors Day	Blakeley, Ron					Photographs	1962-05-16	1960-1970	Coral Gables (Florida)	1 b&w negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 2; Folder Title: Academic Honors Day, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cm		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		asu06420100300001001	Image	image/tiff	282.277 KB	1023	663	0xC3071113	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/35	35	30.jpg	/umevents/image/30.jpg
Anti-war protester						Negatives	1968	1960-1970	Coral Gables ( Florida)	1 negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100570001001	Image	image/tiff	275.506 KB	1022	693	0xB073BD8F	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/36	36	56.jpg	/umevents/image/56.jpg
Crowd at anti-war demonstration						Negatives	1968	1960-1970	Coral Gables (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 9; Folder Title: Anti War Rally, 1968.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100630001001	Image	image/tiff	386.251 KB	1022	680	0x8CFAA251	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/37	37	62.jpg	/umevents/image/62.jpg
All-American Honor awards given to the Hurricane Newspaper by the Associated Collegiate Press of N.S.P.A.				Written on verso: "Hurricane May 4, 1957 All- America Award"		Photographs	1951-05-04	1950-1960	Coral Gables ( Florida)	1 b&w photograph; 25.4 x 20.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 12; Folder Title: Award Presentation, 1949-1951.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100930001001	Image	image/tiff	223.029 KB	928	768	0xF6D33432	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/38	38	92.jpg	/umevents/image/92.jpg
Outdoor arts and crafts show						Negatives	1974	1970-1980	Coral Gables (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 1; Folder No. 11; Folder Title: Art Exhibition, 1956, 1974.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420100770001001	Image	image/tiff	382.78 KB	1023	669	0xEDE6CE51	RGB	24-bit depth	600 dpi			2008-06-05	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/39	39	76.jpg	/umevents/image/76.jpg
